,date,close
0,2016-12-28,159646.69
1,2017-01-04,158952.36
2,2017-01-11,158470.18
3,2017-01-18,157778.75
4,2017-01-25,157832.09
5,2017-02-01,159664.11
6,2017-02-08,159020.3
7,2017-02-15,159135.45
8,2017-02-22,160328.31
9,2017-03-01,159480.39
10,2017-03-08,160969.3
11,2017-03-15,161290.53
12,2017-03-22,160626.76
13,2017-03-29,159647.91
14,2017-04-05,159775.14
15,2017-04-12,158288.8
16,2017-04-19,158677.63
17,2017-04-26,159314.81
18,2017-05-03,158496.88
19,2017-05-10,158571.02
20,2017-05-17,157885.33
21,2017-05-24,157767.2
22,2017-05-31,156256.45
23,2017-06-07,156792.59
24,2017-06-14,157168.96
25,2017-06-21,157126.29
26,2017-06-28,158539.88
27,2017-07-05,158497.8
28,2017-07-12,157889.15
29,2017-07-19,158302.11
30,2017-07-26,158459.89
31,2017-08-02,159505.6
32,2017-08-09,159464.2
33,2017-08-16,158500.09
34,2017-08-23,156225.8
35,2017-08-30,155436.73
36,2017-09-06,156752.92
37,2017-09-13,156658.86
38,2017-09-20,157844.88
39,2017-09-27,158431.64
40,2017-10-04,157729.48
41,2017-10-11,157856.88
42,2017-10-18,158598.61
43,2017-10-25,158427.57
44,2017-11-01,157918.22
45,2017-11-08,158508.82
46,2017-11-15,158024.43
47,2017-11-22,156617.47
48,2017-11-29,156166.4
49,2017-12-06,155967.04
50,2017-12-13,155622.97
51,2017-12-20,156218.27
52,2017-12-27,157586.05
53,2018-01-03,157039.44
54,2018-01-10,156989.17
55,2018-01-17,156986.15
56,2018-01-24,155992.16
57,2018-01-31,157317.44
58,2018-02-07,156339.46
59,2018-02-14,156917.05
60,2018-02-21,157012.77
61,2018-02-28,156980.98
62,2018-03-07,157414.89
63,2018-03-14,158079.46
64,2018-03-21,157384.79
65,2018-03-28,156769.31
66,2018-04-04,156725.55
67,2018-04-11,156243.78
68,2018-04-18,155408.84
69,2018-04-25,157889.29
70,2018-05-02,157153.46
71,2018-05-09,157449.88
72,2018-05-16,158332.85
73,2018-05-23,157357.35
74,2018-05-30,157700.16
75,2018-06-06,158419.99
76,2018-06-13,159020.35
77,2018-06-20,159287.38
78,2018-06-27,158864.34
79,2018-07-04,159738.91
80,2018-07-11,159218.86
81,2018-07-18,159580.07
82,2018-07-25,159750.66
83,2018-08-01,159190.68
